Player,Age,Tm,G,GS,MP,PER,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Year
Robin Lopez\lopezro01,31,MIL,66,5,14.5,10.2,6.2,10.2,6.3,0.5,4.1,16.4,16.6,-0.1,1.6,-3,0.4,147,299,0.492,35,105,0.333,28,53,0.528,56,105,45,10,45,63,96,357,2020
Kevin Love\loveke01,31,CLE,56,56,31.8,17.9,3.3,31.1,15.4,0.9,0.9,14.5,23.1,2.5,1.3,2.6,-0.5,327,727,0.45,146,390,0.374,187,219,0.854,54,493,178,33,19,140,90,987,2020
Kyle Lowry\lowryky01,33,TOR,58,58,36.2,17.7,1.6,12.8,30.6,1.9,1.2,15.7,23.1,4.2,3.3,2.2,1,334,803,0.416,164,466,0.352,294,343,0.857,32,260,433,82,26,178,190,1126,2020
Timothé Luwawu-Cabarrot\luwawti01,24,BRK,47,2,18.1,11,3.6,11.6,4.9,1,0.7,10.8,16.8,0.9,0.7,-1.8,-0.5,117,269,0.435,62,160,0.388,69,81,0.852,29,98,29,18,7,37,106,365,2020
Trey Lyles\lylestr01,24,SAS,63,53,20.2,12.6,6,24.6,7.2,1.1,1.9,9.7,13.6,1.2,1,-0.5,-0.7,153,343,0.446,65,168,0.387,33,45,0.733,71,290,69,28,28,39,98,404,2020
Daryl Macon\maconda01,24,MIA,4,0,3.5,-3.1,0,0,9.7,0,0,40,15.7,0,0,-7,-4.4,1,3,0.333,1,2,0.5,0,0,,0,0,1,0,0,2,1,3,2020
J.P. Macura\macurjp01,24,CLE,1,0,1,0,0,0,0,0,0,,0,0,0,-5.2,-1.2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,2020
Josh Magette\magetjo01,30,ORL,8,0,4.8,5.1,2.7,14.6,19.2,3.8,2.4,23.9,23.7,-0.2,0.1,-7.9,1.6,5,15,0.333,1,4,0.25,1,2,0.5,1,5,5,3,1,5,4,12,2020
Ian Mahinmi\mahinia01,33,WAS,38,35,21.3,14.2,10.1,19.7,8.3,1.8,4.8,14.8,15.7,0.7,0.7,-2.8,0,104,210,0.495,5,26,0.192,70,113,0.619,78,140,49,31,44,45,114,283,2020
Thon Maker\makerth01,22,DET,60,14,12.9,13.7,7.8,16.7,8,1.6,4.2,15.7,16.1,0.7,0.8,-2.1,0.7,93,193,0.482,22,64,0.344,73,110,0.664,54,113,43,25,39,45,102,281,2020
Terance Mann\mannte01,23,LAC,41,6,8.8,10.6,2.9,12.6,19.3,1.4,1.2,16.5,12.6,0.4,0.4,-2.8,1.2,37,79,0.468,7,20,0.35,18,27,0.667,10,45,53,11,5,18,46,99,2020
Boban Marjanović\marjabo01,31,DAL,44,5,9.6,25.7,16.6,32.1,8.3,0.9,2,11.3,26.9,1.2,0.6,2.8,-1.6,121,211,0.573,4,17,0.235,43,57,0.754,66,131,20,8,10,30,56,289,2020
Lauri Markkanen\markkla01,22,CHI,50,50,29.8,14.3,4.2,19.7,7.6,1.4,1.5,11,21.1,1,1.6,0.2,-0.8,251,591,0.425,109,317,0.344,126,153,0.824,60,253,74,42,23,81,96,737,2020
Caleb Martin\martica02,24,CHO,18,1,17.6,12,3.3,10,11.1,1.9,2,13.9,15,0.3,0.2,-1.6,0.6,37,84,0.44,20,37,0.541,17,21,0.81,10,28,23,12,7,15,32,111,2020
Cody Martin\martico01,24,CHO,48,3,18.8,10.5,4.4,15.1,15.7,2.2,0.9,15.7,13.6,0.2,0.8,-3.1,1,89,207,0.43,18,77,0.234,42,65,0.646,38,120,95,39,9,44,78,238,2020
Jeremiah Martin\martije02,23,BRK,9,0,11,21.8,1.1,9.2,30.8,3.3,1.7,6.3,26.7,0.2,0.1,1.5,1.7,24,53,0.453,5,18,0.278,11,14,0.786,1,9,18,7,2,4,7,64,2020
Kelan Martin\martike03,24,MIN,31,4,16,9.2,2.5,18.6,6.8,0.7,1.5,9.3,17.8,-0.1,0.3,-3.3,-1,71,181,0.392,25,96,0.26,30,31,0.968,12,84,23,7,9,20,51,197,2020
Frank Mason III\masonfr01,25,MIL,9,0,13.1,16.9,4.5,11.1,35,1.9,0.7,15.8,24.3,0.1,0.2,-0.6,0.6,23,51,0.451,6,21,0.286,10,17,0.588,5,14,29,5,1,11,11,62,2020
Garrison Mathews\mathega01,23,WAS,18,0,12.6,13.1,2.8,9,5.8,1.6,0.4,10.1,14.5,0.6,0.1,-0.6,-0.5,24,56,0.429,19,46,0.413,31,34,0.912,6,18,10,8,1,8,32,98,2020
Wesley Matthews\matthwe02,33,MIL,67,67,24.4,8.1,1.4,8.2,7.1,1.1,0.5,8.7,12.5,0.8,2.4,-2.6,0.7,167,422,0.396,108,297,0.364,52,68,0.765,22,144,92,38,9,43,103,494,2020
Luc Mbah a Moute\mbahalu01,33,HOU,3,0,8.3,6.4,4.2,4.2,0,3.7,0,14.5,11.4,0,0,-5.2,-2.2,2,5,0.4,0,2,0,1,2,0.5,1,1,0,2,0,1,0,5,2020
Patrick McCaw\mccawpa01,24,TOR,37,12,24.5,7.3,2.3,7.6,11.5,2,0.4,14.6,9.4,0.2,1.2,-3.6,1.8,67,162,0.414,23,71,0.324,13,18,0.722,19,67,79,39,4,29,60,170,2020
CJ McCollum\mccolcj01,28,POR,70,70,36.5,17,1.9,10.2,19.1,1,1.4,8.1,25.9,3.5,0.6,2.3,-1.8,611,1356,0.451,194,512,0.379,140,185,0.757,46,251,310,54,42,127,183,1556,2020
T.J. McConnell\mccontj01,27,IND,71,3,18.7,16.5,3.2,12.4,37.6,2,0.7,18.9,17.5,1.7,1.7,0.1,0.4,212,411,0.516,5,17,0.294,35,42,0.833,38,151,355,56,11,100,73,464,2020
Jalen McDaniels\mcdanja01,22,CHO,16,0,18.3,10.7,5.4,19.4,6.8,1.4,0.9,12.4,13.3,0.2,0.2,-3.4,0.1,33,70,0.471,9,24,0.375,14,17,0.824,15,50,13,8,3,11,36,89,2020
Doug McDermott\mcderdo01,28,IND,69,0,19.9,14.4,2.1,11.7,8.4,0.4,0.3,6.8,19.6,2.3,1.1,1.4,-1.3,267,547,0.488,128,294,0.435,48,58,0.828,26,148,78,12,5,42,117,710,2020
JaVale McGee\mcgeeja01,32,LAL,68,68,16.6,19.4,12.2,25.4,4.6,1.5,7.5,13.9,14.8,2.2,2.4,-0.6,2.1,195,306,0.637,3,6,0.5,53,82,0.646,125,265,37,36,94,55,159,446,2020
Rodney McGruder\mcgruro01,28,LAC,56,4,15.6,6.7,3.6,14.2,5.3,1.4,0.8,10.9,10.6,-0.1,1.1,-3.7,0.8,72,181,0.398,24,89,0.27,19,34,0.559,29,122,36,26,8,24,74,187,2020
Alfonzo McKinnie\mckinal01,27,CLE,40,1,14.8,8.7,6.9,14.4,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,-4.4,-0.9,73,171,0.427,14,65,0.215,22,31,0.71,37,76,14,23,8,26,72,182,2020
Jordan McLaughlin\mclaujo01,23,MIN,30,2,19.7,16.3,1.2,7.8,31,2.7,0.6,13.7,15.8,1.1,0.4,0.3,0,87,178,0.489,29,76,0.382,26,39,0.667,7,42,125,34,4,31,31,229,2020
Ben McLemore\mclembe01,26,HOU,71,23,22.8,11.8,1.3,8.9,5.2,1.3,0.8,8,16,2.2,1.1,0,-0.6,242,545,0.444,181,452,0.4,50,67,0.746,21,136,58,45,16,50,155,715,2020
Jordan McRae\mcraejo01,28,TOT,37,4,21.2,14.2,2.4,15.4,17.9,1.3,1.8,9.4,24.4,0.4,0.4,0,-1.5,149,366,0.407,45,126,0.357,83,109,0.761,18,106,93,21,16,43,73,426,2020
Jordan McRae\mcraejo01,28,WAS,29,4,22.6,15.2,2.7,15.1,19.1,1.4,2,9.7,24.9,0.4,0.3,0.8,-1.2,133,317,0.42,40,106,0.377,64,83,0.771,17,87,82,19,15,38,61,370,2020
Jordan McRae\mcraejo01,28,DEN,4,0,8,16.7,3.5,14,15.6,3.1,2.9,0,10.5,0.1,0,1.1,1.4,2,6,0.333,2,4,0.5,3,4,0.75,1,4,4,2,1,0,2,9,2020
Jordan McRae\mcraejo01,28,DET,4,0,24.5,6.5,0,17.6,10.7,0,0,8.7,25.7,-0.1,0,-5.6,-4.2,14,43,0.326,3,16,0.188,16,22,0.727,0,15,7,0,0,5,10,47,2020
Nicolò Melli\mellini01,29,NOP,60,8,17.4,11.4,3.9,14.5,10.5,1.5,1.8,11.5,15.7,0.9,0.9,-1.5,0.2,136,323,0.421,69,206,0.335,54,73,0.74,38,142,82,34,23,46,124,395,2020
De'Anthony Melton\meltode01,21,MEM,60,8,19.5,13.5,4,15.7,20.1,3.1,1.5,15.6,19.2,0.1,1.7,-2.2,2,161,401,0.401,40,140,0.286,93,121,0.769,43,177,175,77,20,84,109,455,2020
Chimezie Metu\metuch01,22,SAS,18,0,5.8,22.2,12.3,21.6,14.9,1.4,5,17.3,23.7,0.2,0.1,1.9,-0.1,24,42,0.571,0,2,0,10,13,0.769,12,21,10,3,6,10,7,58,2020
